Letter	Description							
A	ATM Airspace Organisation							
C	CNS Communications and Surveillance Facilities							
F	AGA Facilities and Services							
G	CNS GNSS Services							
I	CNS Instrument and Microwave Landing System							
L	AGA Lighting Facilites							
M	AGA Movement and Landing Areas							
N	COM Terminal and En Route Navigation Facilities							
O	Other Information							
P	ATM Air Traffic Procedures							
R	Navigation Warnings: Airspace Restrictions							
S	ATM Air Traffic and VOLMET Services							
W	Navigation Warnings: Warnings	
						
