GGG	HONIARA FIR
ANAU	NAURU FIR
AYPM	PORT MORESBY FIR
BGGL	SONDRESTROM FIR
BIRD	REYKJAVIK FIR
CZEG	EDMONTON FLIGHT INFORMATION REGION
CZQM	MONCTON FLIGHT INFORMATION REGION
CZQX	GANDER FLIGHT INFORMATION REGION
CZUL	MONTREAL FLIGHT INFORMATION REGION
CZVR	VANCOUVER FLIGHT INFORMATION REGION
CZWG	WINNIPEG FLIGHT INFORMATION REGION
CZYZ	TORONTO FLIGHT INFORMATION REGION
DAAA	ALGER FIR
DGAC	ACCRA FIR
DNKK	KANO FIR
DRRR	NIAMEY FIR
DTTC	TUNIS FIR
EBBU	BRUSSELS FIR
EDGG	LANGEN FIR
EDMM	MUNICH FIR
EDWW	BREMEN FIR
EETT	TALLINN FIR
EFIN	FINLAND FIR
EGGX	SHANWICK FIR
EGPX	SCOTTISH FIR
EGTT	LONDON FIR
EHAA	AMSTERDAM FIR
EISN	SHANNON FIR
EKDK	KOEBENHAVN FIR
ENOB	BODO OCEANIC FIR
ENOR	NORWAY FIR
EPWW	WARSZAWA FIR
ESAA	SWEDEN FIR
EVRR	RIGA FIR
EYVL	VILNIUS FIR
FACA	CAPE TOWN FIR
FAJA	JOHANNESBURG FIR
FAJO	JOHANNESBURG OCEANIC FIR
FBGR	GABORONE FIR
FCCC	BRAZZAVILLE FIR
FIMM	MAURITIUS FIR
FLFI	LUSAKA FIR
FMMM	ANTANANARIVO FIR
FNAN	LUANDA FIR
FQBE	BEIRA FIR
FSSS	SEYCHELLES FIR
FTTT	N'DJAMENA FIR
FVHF	HARARE FIR
FWLL	LILONGWE FIR
FYWH	WINDHOEK FIR
FZZA	KINSHASA FIR
GCCC	CANARIAS FIR
GLRB	ROBERTS FIR
GMMM	CASABLANCA FIR
GOOO	DAKAR FIR
GVSC	SAL OCEANIC FIR
HAAA	ADDIS ABEBA FIR
HBBA	BUJUMBURA FIR
HCSM	MOGADISHU FIR/UIR
HECC	CAIRO FIR
HHAA	ASMARA FIR
HKNA	NAIROBI FIR
HLLL	TRIPOLI FIR
HRYR	KIGALI FIR
HSSS	KHARTOUM FIR
HTDC	DAR-ES-SALAAM FIR
HUEC	ENTEBBE FIR
KZAB	ALBUQUERQUE
KZAK	OAKLAND OCEANIC FIR
KZAU	CHICAGO
KZBW	BOSTON
KZDC	WASHINGTON
KZDV	DENVER
KZFW	FT WORTH
KZHU	HOUSTON FIR / UIR
KZID	INDIANAPOLIS
KZJX	JACKSONVILLE
KZKC	KANSAS CITY
KZLA	LOS ANGELES
KZLC	SALT LAKE CITY
KZMA	MIAMI FIR / UIR
KZME	MEMPHIS
KZMP	MINNEAPOLIS
KZNY	NEW YORK FIR
KZOA	OAKLAND FIR
KZOB	CLEVELAND
KZSE	SEATTLE
KZTL	ATLANTA
KZWY	NEW YORK OCEANIC FIR
LAAA	TIRANA FIR
LBSR	FIR SOFIA
LCCC	NICOSIA FIR
LDZO	ZAGREB FIR/UIR
LECB	BARCELONA FIR
LECM	MADRID FIR
LFBB	BORDEAUX FIR
LFEE	REIMS FIR
LFFF	PARIS FIR
LFMM	MARSEILLE FIR
LFRR	BREST FIR
LGGG	ATHINAI FIR
LHCC	BUDAPEST FIR
LIBB	BRINDISI FIR
LIMM	MILANO FIR
LIRR	ROMA FIR
LJLA	LJUBLJANA FIR
LKAA	FIR PRAHA
LLLL	TEL AVIV FIR
LMMM	MALTA FIR
LOVV	WIEN FIR
LPPC	LISBOA FIR
LPPO	SANTA MARIA OCEANIC FIR
LQSB	SARAJEVO FIR
LRBB	BUCURESTI FIR
LSAS	SWITZERLAND FIR
LTAA	ANKARA FIR
LTBB	ISTANBUL FIR
LUUU	CHISINAU FIR
LWSS	SKOPJE FIR
LYBA	BEOGRAD FIR
LZBB	BRATISLAVA FIR
MDCS	SANTO DOMINGO FIR
MHTG	CENTRAL AMERICA FIR
MKJK	KINGSTON FIR
MMFO	OCEANICA MAZATLAN
MMFR	MEXICO
MPZL	PANAMA FIR/CTA
MTEG	PORT-AU-PRINCE FIR
MUFH	HABANA FIR/UIR
MYNA	BAHAMIAN DOMESTIC AIRSPACE
NFFF	NADI OCEANIC FIR
NTTT	TAHITI OCEANIC FIR
NZZC	NEW ZEALAND FIR
NZZO	AUCKLAND OCEANIC FIR
OAKX	KABUL FIR
OBBB	BAHRAIN FIR
OEJD	JEDDAH FIR
OIIX	TEHRAN FIR
OJAC	AMMAN FIR
OKAC	KUWAIT FIR
OLBB	BEIRUT FIR
OMAE	EMIRATES FIR
OOMM	MUSCAT FIR
OPKR	KARACHI FIR
OPLR	LAHORE FIR
ORBB	BAGHDAD FIR
OSTT	DAMASCUS FIR
OYSC	SANAA FIR
PAZA	ANCHORAGE FIR / UIR
PGZU	GUAM CERAP
PHZH	HONOLULU CERAP
RCAA	TAIPEI FIR
RJJJ	FUKUOKA FIR
RKRR	INCHEON FIR
RPHI	MANILA FIR
SACF	CORDOBA FIR
SAEF	EZEIZA FIR
SAMF	MENDOZA FIR
SARR	RESISTENCIA FIR
SAVF	COMODORO RIVADAVIA FIR
SBAO	ATLANTICO FIR
SBAZ	AMAZONICA FIR
SBBS	BRASILIA FIR
SBCW	CURITIBA FIR
SBRE	RECIFE FIR
SCCZ	PUNTA ARENAS FIR
SCEZ	SANTIAGO FIR
SCFZ	ANTOFAGASTA FIR
SCIZ	ISLA DE PASCUA FIR
SCTZ	PUERTO MONTT FIR
SEFG	GUAYAQUIL FIR/UIR
SGFA	ASUNCION FIR/UIR
SKEC	BARRANQUILLA FIR
SKED	BOGOTA FIR
SLLF	LA PAZ FIR
SMPM	PARAMARIBO FIR
SOOO	CAYENNE FIR
SPIM	LIMA FIR
SUEO	MONTEVIDEO FIR
SVZM	MAIQUETIA FIR
SYGC	GEORGETOWN FIR
TJZS	SAN JUAN OCEANIC FIR/UIR
TNCF	CURACAO FIR
TTZP	PIARCO FIR
TXKF	NY RADAR AREA (BDA VOR)
UAAA	ALMATY FIR
UACC	ASTANA FIR
UAII	SHYMKENT FIR
UATT	AKTOBE FIR
UBBA	BAKU FIR
UCFM	BISHKEK FIR
UCFO	OSH FIR
UDDD	YEREVAN FIR
UEEE	YAKUTSK FIR
UELL	CHULMAN FIR
UEMO	OLEKMINSK FIR
UERP	POLIARNY FIR
UERR	MIRNY FIR
UGGG	TBILISI FIR
UHHH	KHABAROVSK FIR
UHMM	MAGADAN FIR
UHPP	PETROPAVLOVSK-KAMCHATSKY FIR
UIII	IRKUTSK FIR
UKBV	KYIV FIR
UKDV	DNIPROPETROVSK FIR
UKFV	SIMFEROPOL' FIR
UKLV	L'VIV FIR
UKOV	ODESA FIR
ULAA	ARKHANGELSK FIR
ULKK	KOTLAS FIR
ULLL	SANKT-PETERBURG FIR
ULMM	MURMANSK FIR
ULWW	VOLOGDA FIR
UMKK	KALININGRAD FIR
UMMV	MINSK OPEN FIR
UNKL	KRASNOYARSK FIR
UNNT	NOVOSIBIRSK FIR
URRV	ROSTOV-NA-DONU FIR
USCC	CHELYABINSK FIR
USDD	SALEKHARD FIR
USDK	KAMENNY MYS FIR
USDS	TARKO-SALE FIR
USKK	KIROV FIR
USPP	PERM FIR
USSS	YEKATERINBURG FIR
USTR	TYUMEN FIR
UTAA	ASHGABAT FIR
UTAK	TURKMENBASHI FIR
UTAT	DASHOGUZ FIR
UTAV	TURKMENABAT FIR
UTDD	DUSHANBE FIR
UTNR	NUKUS FIR
UTSD	SAMARKAND FIR
UTTR	TASHKENT FIR
UUWV	MOSCOW FIR
UUYY	SYKTYVKAR FIR
UWWW	SAMARA FIR
VABF	MUMBAI FIR
VCCF	COLOMBO FIR
VDPP	PHNOM PENH FIR
VECF	KOLKATA FIR
VGFR	DHAKA FIR
VHHK	HONG KONG FIR
VIDF	DELHI FIR
VLVT	VIENTIANE FIR
VNSM	KATHMANDU FIR
VOMF	CHENNAI FIR
VRMF	MALE FIR
VTBB	BANGKOK FIR
VVTS	HOCHIMINH FIR
